card_name,card_address,card_rating,card_reviews_count,card_website,card_phone,card_rubrics,card_response_status,card_avg_response_time,card_reviews_positive,card_reviews_negative,card_reviews_texts,card_answered_reviews_count,card_unanswered_reviews_count,detailed_reviews
Реабилитационный центр Апрель,"Воткинское ш., 93, Ижевск","4,6",70,http://aprelizh.ru/,+7 (3412) 77-66-55,"Медицинская реабилитация; Социальная реабилитация; Конный клуб; Диагностический центр; Отделение больницы, госпиталя; Оздоровительный центр",UNKNOWN,,0,0,,0,70,[]
Апрель,"Фронтовая ул., 4, Ижевск","4,4",18,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,18,[]
Апрель,"ул. Максима Горького, 150, Ижевск","4,2",17,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,17,[]
Апрель,"Пушкинская ул., 254, Ижевск","4,2",41,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,41,[]
Апрель,"Удмуртская ул., 268, Ижевск","4,1",22,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,22,[]
Апрель,"2-я Подлесная ул., 6, Ижевск","4,0",22,https://apteka-april.ru/,+7 (918) 200-90-01,,UNKNOWN,,0,0,,0,22,[]
Апрель,"Заводская ул., 3, Ижевск","4,4",16,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,16,[]
Апрель,"ул. Кирова, 5, Ижевск","4,1",17,https://apteka-april.ru/,+7 (918) 200-90-01,,UNKNOWN,,0,0,,0,17,[]
Апрель,"7-я Подлесная ул., 24Б, Ижевск","4,3",10,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,10,[]
Апрель,"ул. Карла Либкнехта, 69, Ижевск","4,0",18,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,18,[]
Апрель,"Удмуртская ул., 261, Ижевск","4,2",11,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,11,[]
Апрель,"Красноармейская ул., 132, Ижевск","2,4",27,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,27,[]
Апрель,"Архитектурная ул., 7, Ижевск","4,7",24,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,24,[]
Апрель,"ул. Металлургов, 9, корп. 2, Ижевск","4,2",20,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,20,[]
Апрель,"Пушкинская ул., 373, Ижевск","3,2",14,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,14,[]
Апрель,"3-я Подлесная ул., 39, Ижевск","3,3",5,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,5,[]
Апрель,"Крымская ул., 41А, Ижевск","4,1",18,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,18,[]
Апрель,"ул. Орджоникидзе, 47, Ижевск","4,3",13,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,13,[]
Апрель,"Красногеройская ул., 39, Ижевск","4,2",35,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,35,[]
Апрель,"Локомотивная ул., 2Б, Ижевск","4,1",13,https://apteka-april.ru/,8 (800) 200-91-01,,UNKNOWN,,0,0,,0,13,[]
Апрель,"Дарьинская ул., 1, Ижевск","4,3",13,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,13,[]
Апрель,"ул. Гагарина, 27, Ижевск","4,0",10,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,10,[]
Апрель,"ул. Ленина, 164, Ижевскэтаж 1","4,5",20,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,20,[]
Реабилитационный центр Апрель,,,70,,,,UNKNOWN,,0,0,,0,70,[]
Апрель,"Гольянская ул., 82, село Завьялово",,3,https://apteka-april.ru/,Телефон не указанДобавить,,UNKNOWN,,0,0,,0,3,[]
